0,1,2,3,4,5
,19B,ENG – C (PLAIN),"MAT ALTERNATIVE A – C
(PLAIN)",MAT ALTERNATIVE A/PHY/CHE/BIO - C+,MAT ALTERNATIVE A/PHY/CHE/BIO - C+
,,Bachelor of Science with Education,,,
,19C,ENG – C (PLAIN),MAT ALTERNATIVE A/B - D+,"ENG/KIS/MAT ALTERNATIVE
A/B/HAG/GEO/CRE/IRE/HRE/SSE/HSC/ARD/CMP/
ANY GROUP 5 - C+","ENG/KIS/MAT ALTERNATIVE
A/B/HAG/GEO/CRE/IRE/HRE/SSE/HSC/ARD/CMP
/ANY GROUP 5 - C+"
,,"Bachelor of Education (Arts) Bachelor of Education (Early Childhood
Development Education)
Bachelor of Education (Arts) Fine Art Bachelor of Education (Early Childhood
Development)
Bachelor of Education (Early Childhood
Education)
Bachelor of Education (Arts) With Guidance and Counselling Bachelor of Education (Early Childhood
Education, With IT)
Bachelor of Education (Arts, With IT) Bachelor of Education (Early Childhood)
Bachelor of Education (Guidance and Counselling) Bachelor of Education in Early Childhood
Education
Bachelor of Education (Home Science and Technology) Bachelor of Education (Early Childhood
DBaecvheeloloprm oefn Et)d ucation in Early Childhood
Bachelor of Education (Library Science) Education
Bachelor of Education Arts (Home Economics) Bachelor of Education (Early Childhood
Development)
Bachelor of Education Arts Bachelor of Education (Early Childhood and
Primary Education)",,,
,19D,ENG – C (PLAIN),MAT ALTERNATIVE A/B - D+,"ENG/KIS/MAT ALTERNATIVE
A/B/HAG/GEO/CRE/IRE/HRE/SSE/HSC/ARD/CMP/
ANY GROUP 5 - C+","ENG/KIS/MAT ALTERNATIVE
A/B/HAG/GEO/CRE/IRE/HRE/SSE/HSC/ARD/CMP
/ANY GROUP 5 - C+"
,,,,,
,19E,ENG – C (PLAIN),MAT ALTERNATIVE A/B - D+,MAT ALTERNATIVE A/B / BST- C+,"ENG/KIS/MAT ALTERNATIVE
A/B/HAG/GEO/CRE/IRE/HRE/SSE/HSC/ARD/CMP
/ANY GROUP 5 - C+"
,,,,,
,,ENG - C (PLAIN),MAT ALTERNATIVE A/B - D+,BIO/GSC - C+,"ENG/KIS/MATHEMATICS ALTERNATIVE
A/B/HAG/GEO/CRE/IRE/HRE/SSE/HSC/ARD/CMP
/ANY GROUP 5 - C+"
,,,,,
